country,country_name,year,quarter,time,period,gdp_per_worker,y
CPV,Cabo Verde,2017,4,2017.75,2017-Q4,9913.676446530852,9.201670542031295
CPV,Cabo Verde,2018,1,2018.0,2018-Q1,9582.838969945476,9.167729170481977
CPV,Cabo Verde,2018,2,2018.25,2018-Q2,9894.685374563143,9.199753061125202
CPV,Cabo Verde,2018,3,2018.5,2018-Q3,10211.268474760604,9.231247141909979
CPV,Cabo Verde,2018,4,2018.75,2018-Q4,10378.517702162266,9.247493343262626
CPV,Cabo Verde,2019,1,2019.0,2019-Q1,10154.678984922852,9.225689861985815
CPV,Cabo Verde,2019,2,2019.25,2019-Q2,9911.306426548415,9.201431447752233
CRI,Costa Rica,2010,3,2010.5,2010-Q3,24348.646481352527,10.100231540984362
CRI,Costa Rica,2010,4,2010.75,2010-Q4,24560.501820814115,10.10889481449591
CRI,Costa Rica,2011,1,2011.0,2011-Q1,25687.657000128424,10.153765883147054
CRI,Costa Rica,2011,2,2011.25,2011-Q2,26854.30601221132,10.198181459972929
CRI,Costa Rica,2011,3,2011.5,2011-Q3,25772.18752341211,10.15705118647807
CRI,Costa Rica,2011,4,2011.75,2011-Q4,24936.996194412128,10.124107770697801
CRI,Costa Rica,2012,1,2012.0,2012-Q1,24446.59419305808,10.104246188392876
CRI,Costa Rica,2012,2,2012.25,2012-Q2,25039.088385166546,10.128193418208118
CRI,Costa Rica,2012,3,2012.5,2012-Q3,24761.873045147902,10.11706037196434
CRI,Costa Rica,2012,4,2012.75,2012-Q4,25302.54426938924,10.13866023366687
CRI,Costa Rica,2013,1,2013.0,2013-Q1,25522.80679163791,10.147327715409281
CRI,Costa Rica,2013,2,2013.25,2013-Q2,24949.134141416933,10.124594396826652
CRI,Costa Rica,2013,3,2013.5,2013-Q3,25172.11271464953,10.13349202241566
CRI,Costa Rica,2013,4,2013.75,2013-Q4,24693.2474104828,10.114285101048818
CRI,Costa Rica,2014,1,2014.0,2014-Q1,25073.65239450734,10.129572868395195
CRI,Costa Rica,2014,2,2014.25,2014-Q2,25466.540851179863,10.145120746075602
CRI,Costa Rica,2014,3,2014.5,2014-Q3,25340.31604130073,10.140151925829743
CRI,Costa Rica,2014,4,2014.75,2014-Q4,25653.494810823973,10.152435091252395
CRI,Costa Rica,2015,1,2015.0,2015-Q1,25909.289614787267,10.162356855765674
CRI,Costa Rica,2015,2,2015.25,2015-Q2,25971.49480822872,10.164754862038793
CRI,Costa Rica,2015,3,2015.5,2015-Q3,26754.172819924577,10.194445733426676
CRI,Costa Rica,2015,4,2015.75,2015-Q4,27024.16120226956,10.204486604181861
