STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,EXRATE,STATISTICAL_MEASURES,TRANSFORMATION,DERIVATION_TYPE,OVERLAP,IFS_FLAG,STATUS
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1951,0.00000002874936,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1952,0.00000002874936,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1953,0.00000002874936,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1954,0.00000002874936,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1955,0.00000002874936,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1956,0.00000002874936,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1957,0.00000002874936,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1958,0.00000002874936,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1959,0.00000002865452666666668,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1960,0.00000002866844333333332,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1961,0.00000002873486,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1962,0.00000002867844333333332,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1963,0.00000002875202666666668,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1964,0.00000002881977666666668,0,,,,,,R,OL,true,
