"ref_area","source","indicator","sex","classif1","time","obs_value"
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2015",5337.647
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2015",6262.248
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2015",1932.372
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2015",4329.876
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2015",1538.591
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2015",530.82
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2015",1007.771
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2014",7578.201
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2014",2423.844
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2014",5154.358
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2014",6155.973
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2014",1927.499
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2014",4228.474
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2014",1422.228
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2014",496.345
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2014",925.883
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2013",7235.147
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2013",2305.273
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2013",4929.874
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2013",5947.353
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2013",1859.34
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2013",4088.013
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2013",1287.794
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2013",445.933
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2013",841.861
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2012",6926.465
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2012",2195.258
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2012",4731.207
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2012",5758.069
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2012",1794.597
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2012",3963.471
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2012",1168.397
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2012",400.661
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2012",767.736
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2011",6589.599
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2011",2068.703
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2011",4520.896
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2011",5496.871
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2011",1699.952
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2011",3796.919
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2011",1092.728
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2011",368.752
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2011",723.977
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2010",6290.612
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2010",1952.729
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2010",4337.883
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2010",5266.134
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2010",1613.321
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2010",3652.813
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2010",1024.479
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2010",339.408
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2010",685.07
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2009",6051.252
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2009",1853.787
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2009",4197.466
